timestep, pid, tickets, ticks
0, 4, 10, 2
0, 5, 20, 10
0, 6, 30, 10
1, 4, 10, 12
1, 5, 20, 20
1, 6, 30, 18
2, 4, 10, 18
2, 5, 20, 28
2, 6, 30, 26
3, 4, 10, 24
3, 5, 20, 36
3, 6, 30, 36
4, 4, 10, 32
4, 5, 20, 42
4, 6, 30, 44
5, 4, 10, 38
5, 5, 20, 50
5, 6, 30, 54
6, 4, 10, 40
6, 5, 20, 60
6, 6, 30, 64
7, 4, 10, 44
7, 5, 20, 70
7, 6, 30, 74
8, 4, 10, 52
8, 5, 20, 78
8, 6, 30, 84
9, 4, 10, 56
9, 5, 20, 86
9, 6, 30, 92
10, 4, 10, 62
10, 5, 20, 96
10, 6, 30, 100
11, 4, 10, 70
11, 5, 20, 102
11, 6, 30, 108
12, 4, 10, 72
12, 5, 20, 110
12, 6, 30, 118
13, 4, 10, 80
13, 5, 20, 118
13, 6, 30, 128
14, 4, 10, 84
14, 5, 20, 126
14, 6, 30, 138
15, 4, 10, 88
15, 5, 20, 134
15, 6, 30, 146
16, 4, 10, 94
16, 5, 20, 144
16, 6, 30, 156
17, 4, 10, 98
17, 5, 20, 154
17, 6, 30, 166
18, 4, 10, 106
18, 5, 20, 162
18, 6, 30, 176
19, 4, 10, 114
19, 5, 20, 168
19, 6, 30, 186
20, 4, 10, 124
20, 5, 20, 176
20, 6, 30, 192
21, 4, 10, 132
21, 5, 20, 184
21, 6, 30, 200
22, 4, 10, 134
22, 5, 20, 194
22, 6, 30, 210
23, 4, 10, 142
23, 5, 20, 202
23, 6, 30, 218
24, 4, 10, 148
24, 5, 20, 212
24, 6, 30, 228
25, 4, 10, 154
25, 5, 20, 222
25, 6, 30, 236
26, 4, 10, 160
26, 5, 20, 232
26, 6, 30, 244
27, 4, 10, 164
27, 5, 20, 240
27, 6, 30, 254
28, 4, 10, 170
28, 5, 20, 244
28, 6, 30, 264
29, 4, 10, 174
29, 5, 20, 254
29, 6, 30, 272
